,SigmaBR  1 [-],SigmaBR  2 [-],SigmaBR  3 [-],OmegaBR  1 [rad/s],OmegaBR  2 [rad/s],OmegaBR  3 [rad/s],SigmaBN  1 [-],SigmaBN  2 [-],SigmaBN  3 [-],OmegaBN_B  1 [rad/s],OmegaBN_B  2 [rad/s],OmegaBN_B  3 [rad/s],BetaBN  1 [-],BetaBN  2 [-],BetaBN  3 [-],BetaBN  4 [-],Position  1 [m],Position  2 [m],Position  3 [m],numRW,RW Torque  1 [Nm],RW Torque  2 [Nm],RW Torque  3 [Nm],RW Torque  4 [Nm],RW Torque Req  1 [Nm],RW Torque Req  2 [Nm],RW Torque Req  3 [Nm],RW Torque Req  4 [Nm],RW Omega  1 [rad/s],RW Omega  2 [rad/s],RW Omega  3 [rad/s],RW Omega  4 [rad/s],RW Omega True  1 [rad/s],RW Omega True  2 [rad/s],RW Omega True  3 [rad/s],RW Omega True  4 [rad/s],RW Volt  1 [V],RW Volt  2 [V],RW Volt  3 [V],RW Volt  4 [V],RW Temp  1 [C],RW Temp  2 [C],RW Temp  3 [C],RW Temp  4 [C],RW Power  1 [W],RW Power  2 [W],RW Power  3 [W],RW Power  4 [W],Panel Angle [rad],Panel Angle Rate [rad/s],Position  1 [m],Position  2 [m],Position  3 [m],Net Power [W],Stored Energy [Ws],Sink Power [W],Supply Power [W],numCSS,CSS Cos Values  1 [-],CSS Cos Values  2 [-],CSS Cos Values  3 [-],CSS Cos Values  4 [-],CSS Cos Values  5 [-],CSS Cos Values  6 [-],CSS Cos Values  7 [-],CSS Cos Values  8 [-],Sun Heading [-],Fault
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801001702484209,0.0692273738206818,-0.713446882434179,0.0,0.0,0.0,0.25608022218531534,-0.3518282840797811,0.08695513508998787,-0.8961465186053441,3910323.6158767403,-3583795.880155989,-4323715.178017633,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50889206047475,47.79676296821123,-172.42629505997118,-86.70473903169992,184.50889206047475,47.79676296821123,-172.42629505997118,-86.70473903169992,0.0,0.0,0.0,0.0,19.0,19.5,20.0,20.5,-5.0,-5.0,-5.0,-5.0,0.0,0.0,3910323.7198356353,-3583795.901295167,-4323715.001253148,0.0,0.0,-1.0,160.05195365647245,8,0.0,0.0,0.0,0.0,1.840404443559626,0.3757017866565518,0.0,1.3418745558692478,,0.0
5000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800932919961242,0.06922781011288176,-0.7134493058294716,2.3769989225574446e-06,6.718798394657114e-06,1.0541918806615632e-06,0.2560804863077406,-0.3518197184220277,0.08695570139260844,-0.8961497510222027,3941542.915188895,-3570989.506852722,-4305940.7511326745,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.73748211900116,-172.41944055834608,-86.70059413129644,184.5078424859246,47.786284273900876,-172.42524891661185,-86.70369769424768,0.0,0.0,0.0,0.0,19.01980533988178,19.509902860893124,20.000000085373383,20.490097418666984,-5.0,-5.0,-5.0,-5.0,2.096774222396909e-08,2.268286006431226e-08,3940919.8294257466,-3571246.7435211167,-4306297.37884396,139.04985174693712,259895.25602062282,-1.0,160.04985174693712,8,0.0,0.0,0.0,0.0,1.8404090840676566,0.37572285091160607,0.0,1.3418894434597517,,0.0
10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.280073597066627,0.06922477871353712,-0.7134489906396289,7.685789705350212e-06,8.486417657765975e-06,5.245058336998074e-06,0.2560898754160931,-0.35179760964675655,0.08695254366999346,-0.8961560537682688,3972639.816621391,-3558072.241872153,-4288032.232699301,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.5067899795827,47.77581053076964,-172.42420590992694,-86.70265700186162,0.0,0.0,0.0,0.0,19.039218430084553,19.519609593113273,20.000000169055397,20.480390960417807,-5.0,-5.0,-5.0,-5.0,-5.454964598546209e-09,-1.6496054922043897e-08,3972019.188307625,-3558331.6924765483,-4288391.536810959,139.04607190339846,260590.49532525046,-1.0,160.04607190339846,8,0.0,0.0,0.0,0.0,1.8404334883035809,0.37580610214896165,0.0,1.3419012057090314,,0.0
15000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28005023670917806,0.06921384456910065,-0.7134384874699441,1.1977011208005467e-05,3.843197356027507e-06,8.430292192801884e-06,0.256113215081873,-0.3517748032172052,0.08694042482987005,-0.89615951225902,4003613.352081128,-3545044.484171228,-4269990.1778039355,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.50573849080996,47.765343198478035,-172.42316189760962,-86.70161144007945,0.0,0.0,0.0,0.0,19.05824703921069,19.52912408103758,20.000000251079552,20.470876740986032,-5.0,-5.0,-5.0,-5.0,-2.2186569683668628e-08,1.4418839455742708e-09,4002995.200541196,-3545306.1406945395,-4270352.1471725935,139.04532353642094,261285.72171135727,-1.0,160.04532353642094,8,0.0,0.0,0.0,0.0,1.8404791624640855,0.3759342061098897,0.0,1.3418724556711605,,0.0
20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28003556201974306,0.06919590430698543,-0.7134198249648369,1.2138465089351529e-05,-3.398491387728658e-06,7.29500333848649e-06,0.25614266653416606,-0.3517646175998739,0.08691992774941966,-0.8961570812896682,4034462.557249109,-3531906.636136851,-4251815.145693022,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.73748211900116,-172.41944055834608,-86.70059413129644,184.50469113180492,47.754878464654816,-172.4221135647695,-86.70055949929342,0.0,0.0,0.0,0.0,19.076898782003447,19.53845013211213,20.00000033147868,20.461550953034116,-5.0,-5.0,-5.0,-5.0,-2.028059897796214e-08,1.9056049775182344e-09,4033846.9017363926,-3532170.490492631,-4252179.769094929,139.0499960163616,261980.95805815485,-1.0,160.0499960163616,8,0.0,0.0,0.0,0.0,1.840529442117475,0.37605028763924386,0.0,1.3417983522191685,,0.0
25000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28003495853009497,0.06917644811491355,-0.7134028397737278,8.456649223352334e-06,-7.2859255192496874e-06,2.079841325082619e-06,0.25616417758852467,-0.35176988337799336,0.08689697605476564,-0.8961510915136828,4065186.4716107985,-3518659.1035740008,-4233507.69975668,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.73748211900116,-172.41944055834608,-86.70059413129644,184.50364761606937,47.744410376576994,-172.42106115205632,-86.69950492065841,0.0,0.0,0.0,0.0,19.095181122394248,19.54759147837556,20.00000041028496,20.452409864629768,-5.0,-5.0,-5.0,-5.0,-2.3728501297175204e-09,4.3188830585923126e-09,4064573.3313033315,-3518925.147610423,-4233874.965886328,139.05818862067036,262676.2283512752,-1.0,160.05818862067036,8,0.0,0.0,0.0,0.0,1.840563208308569,0.3761047361917749,0.0,1.341710588980039,,0.0
30000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800424153552228,0.06916104124599148,-0.7133970807084745,4.380845321194537e-06,-4.627592825256755e-06,-3.6171351296605717e-06,0.25616904714238575,-0.35178061405622246,0.08687795928135236,-0.8961473311077242,4095784.138486103,-3505302.2956939456,-4215068.407511991,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.73748211900116,-172.41944055834608,-86.70059413129644,184.50260449432204,47.73393574273227,-172.4200082575284,-86.69845361557888,0.0,0.0,0.0,0.0,19.113101376489457,19.55655177795254,20.00000048752994,20.443449817752537,-5.0,-5.0,-5.0,-5.0,1.7746193859598057e-08,3.0645585032591747e-09,4095173.5324814483,-3505570.521195425,-4215438.304979953,139.06527335325623,263371.5387945933,-1.0,160.06527335325623,8,0.0,0.0,0.0,0.0,1.8405722671661449,0.3760960342946625,0.0,1.3416513119363742,,0.0
35000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.280045472606919,0.06915074496053751,-0.7134039513327999,3.6842551851282967e-06,2.381395550647634e-06,-5.801453465281618e-06,0.2561610853982595,-0.35178222483077587,0.08686447484572703,-0.896150281833617,4126254.60505894,-3491836.625102491,-4196497.840586024,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.73748211900116,-172.41944055834608,-86.70059413129644,184.50155799336082,47.72345675823193,-172.41895887565883,-86.69740880137573,0.0,0.0,0.0,0.0,19.13066671549815,19.565334616517653,20.00000056324456,20.434667226830012,-5.0,-5.0,-5.0,-5.0,2.31809368559738e-08,-9.877146952183097e-10,4125646.552371947,-3492107.023787813,-4196870.357918074,139.0677042260051,264066.8735555398,-1.0,160.0677042260051,8,0.0,0.0,0.0,0.0,1.8405680900853831,0.37607200416978287,0.0,1.3416384328094308,,0.0
40000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800354739438723,0.06914124399063173,-0.7134155547454687,7.3590374112221755e-06,7.965988991577924e-06,-3.3688454160777727e-06,0.2561534781869465,-0.3517675346103252,0.08685201412500437,-0.8961594304861904,4156596.9224066236,-3478262.507787946,-4177796.574698672,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.676122887485725,-172.41944055834608,-86.70059413129644,184.50050712102748,47.712979198126476,-172.4179141107158,-86.69636835419453,0.0,0.0,0.0,0.0,19.147884168601813,19.57394350873033,20.0000006374591,20.42605857730289,-5.0,-5.0,-5.0,-5.0,9.535697621149832e-09,-4.0869054659017475e-09,4155991.4419714212,-3478535.071306632,-4178171.7003371804,139.0659347559935,264762.208643987,-1.0,160.0659347559935,8,0.0,0.0,0.0,0.0,1.8405723708766446,0.3760904513203494,0.0,1.341650890185187,,0.0
45000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28001468994121,0.06912639787305713,-0.7134211906068163,1.2800014492429491e-05,7.5232026761738825e-06,9.863136168268204e-07,0.25615793691024547,-0.3517426752211124,0.08683367333825623,-0.8961696909407094,4186810.1455293144,-3464580.3631087244,-4158965.1896453947,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.73748211900116,-172.41944055834608,-86.70059413129644,184.4994544824992,47.702507665400866,-172.4168712683236,-86.69532655680241,0.0,0.0,0.0,0.0,19.164760625767247,19.58238189964134,20.000000710203295,20.4176204242186,-5.0,-5.0,-5.0,-5.0,-1.1966651936036483e-08,-3.86342694132703e-09,4186207.25620341,-3464855.0830388353,-4159342.9119521407,139.06404439532025,265457.5325019603,-1.0,160.06404439532025,8,0.0,0.0,0.0,0.0,1.8405991738101566,0.37617159983927,0.0,1.3416459822600675,,0.0
