,SigmaBR  1 [-],SigmaBR  2 [-],SigmaBR  3 [-],OmegaBR  1 [rad/s],OmegaBR  2 [rad/s],OmegaBR  3 [rad/s],SigmaBN  1 [-],SigmaBN  2 [-],SigmaBN  3 [-],OmegaBN_B  1 [rad/s],OmegaBN_B  2 [rad/s],OmegaBN_B  3 [rad/s],BetaBN  1 [-],BetaBN  2 [-],BetaBN  3 [-],BetaBN  4 [-],Position  1 [m],Position  2 [m],Position  3 [m],numRW,RW Torque  1 [Nm],RW Torque  2 [Nm],RW Torque  3 [Nm],RW Torque  4 [Nm],RW Torque Req  1 [Nm],RW Torque Req  2 [Nm],RW Torque Req  3 [Nm],RW Torque Req  4 [Nm],RW Omega  1 [rad/s],RW Omega  2 [rad/s],RW Omega  3 [rad/s],RW Omega  4 [rad/s],RW Omega True  1 [rad/s],RW Omega True  2 [rad/s],RW Omega True  3 [rad/s],RW Omega True  4 [rad/s],RW Volt  1 [V],RW Volt  2 [V],RW Volt  3 [V],RW Volt  4 [V],RW Temp  1 [C],RW Temp  2 [C],RW Temp  3 [C],RW Temp  4 [C],RW Power  1 [W],RW Power  2 [W],RW Power  3 [W],RW Power  4 [W],Panel Angle [rad],Panel Angle Rate [rad/s],Position  1 [m],Position  2 [m],Position  3 [m],Net Power [W],Stored Energy [Ws],Sink Power [W],Supply Power [W],numCSS,CSS Cos Values  1 [-],CSS Cos Values  2 [-],CSS Cos Values  3 [-],CSS Cos Values  4 [-],CSS Cos Values  5 [-],CSS Cos Values  6 [-],CSS Cos Values  7 [-],CSS Cos Values  8 [-],Sun Heading  1 [-],Sun Heading  2 [-],Sun Heading  3 [-],Fault
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204350809138571,0.592432048163409,0.4762642654170614,0.0,0.0,0.0,0.26724966403020517,0.025896349422515466,0.7507593139958064,0.6035457303393635,5634778.048572491,-2549395.9375983677,-2929042.012459956,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.6233763086197,-94.73721661728982,-153.99011002073144,-121.85161683033,-56.6233763086197,-94.73721661728982,-153.99011002073144,-121.85161683033,0.0,0.0,0.0,0.0,19.0,19.5,20.0,20.5,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5634778.092289713,-2549395.741045721,-2929042.056685078,0.0,0.0,-1.0,191.275597359228,8,0.0,0.0,0.0,0.3640201583483022,1.8548940585280762,0.9876498144585867,0.0,0.3759096615663191,0.0,0.0,0.0,0.0
5000000000,-0.2918282915525498,0.7135013060878531,0.23955698827187183,0.002350955365346433,-0.038150883488139914,-0.0012984634257184207,0.041288643520880894,0.5637902770395089,0.45390503464463183,0.0015863596881890056,-0.03821901868446157,-0.0019942932191668273,0.3109647705378128,0.05412795707916917,0.7391091911705496,0.5950535095888577,5656291.830791874,-2530386.5806025,-2903935.02230446,4,-0.00013192050393785555,0.00010829861746116606,7.850274316509903e-05,3.168547738241052e-05,0.0,0.0,0.0,0.0,-87.62098260402783,0.0,-141.55574710608698,-109.95574287564276,-87.60605640805684,-55.61656276411756,-141.57581538318348,-109.98652574397819,0.0,0.0,0.0,0.0,19.02026589930994,19.510505036512008,20.000381684936002,20.49037832444311,-5.011557035109359,-4.996988401572352,-4.994442955063292,-4.998257512213085,5.839828647672949e-05,-0.00022809430742564473,5655863.340938062,-2530767.3490458843,-2904438.091949293,180.1158977834945,260068.9733561963,-1.0,201.1170119095614,8,0.0,0.0,0.0,0.535630868811633,1.7934841694949344,0.8687614250698164,0.0,0.0,0.0,0.0,0.0,0.0
10000000000,-0.2412443381479565,0.6411510271906616,0.25563276106161786,-0.006050796014236933,-0.047779905481076426,0.00641482324342714,0.08742314188825114,0.5005194498025752,0.425884095405387,-0.007015362425962014,-0.047345069336650274,0.005894032030832636,0.38933290802404896,0.121459847948203,0.6953881427168088,0.5916947887507579,5677629.699435676,-2511298.5269113015,-2878737.4663002663,4,-0.00014276109161155725,3.7402611249828394e-05,0.00013234735929063403,1.5582036514729622e-05,0.0,0.0,0.0,0.0,-115.90758833263905,0.0,-119.46642376053374,-105.66059666956296,-115.89489144135266,-41.939133305697695,-119.41981845678339,-105.63142049806298,0.0,0.0,0.0,0.0,19.040256263064858,19.520331055472425,20.000965589908212,20.4807596629862,-5.016545281214371,-4.999215683450406,-4.992097551190139,-4.999177023674348,0.00022544080175093326,9.310481047855075e-05,5677204.773264925,-2511680.8778541475,-2879242.319649296,196.0019793980294,261012.15620828295,-1.0,217.0088903215082,8,0.46594963234523323,0.0,0.0,0.8858255918276573,1.5988005466005062,0.5632162116184032,0.0,0.0,0.0,0.0,0.0,0.0
15000000000,-0.19051594321838755,0.5752370978016899,0.2844000856333774,-0.01164517243059757,-0.04201731613879189,0.010589605332552115,0.13146567490162311,0.4323077580667436,0.4124103772845928,-0.012605399741603563,-0.04138554695284963,0.010173987281150725,0.45533340840534947,0.19132638874288876,0.6291519230273491,0.6001946000353225,5698790.9885388855,-2492132.3684190856,-2853450.1275107297,4,-0.00015353070721871578,3.272437720785611e-05,0.00016081175246829998,2.3097141424847865e-05,0.0,0.0,0.0,0.0,-147.20079640550614,0.0,-88.23457491918208,-101.79496508409115,-147.20909573654546,-35.16112484420225,-88.22915654011867,-101.7902293155614,0.0,0.0,0.0,0.0,19.0601027941571,19.52988373579939,20.001603275773235,20.471319590884562,-5.02260111657746,-4.999424687043773,-4.992905857358992,-4.998824468338915,0.00021746488819498848,-2.443567473768776e-05,5698369.63195222,-2492516.297134917,-2853956.739813722,202.46271087779192,262013.40738556016,-1.0,223.4763343386707,8,0.8555477879550872,0.0,0.0,1.1821086303937516,1.3210921591610303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000000,-0.14949573128740812,0.5211811605429111,0.3132800199046346,-0.01197300647628626,-0.035043088610863665,0.010173053828035886,0.1649188502361131,0.37157340304726216,0.40671411874142965,-0.012885056109556306,-0.034392538813597204,0.009908320218034845,0.5029893759057131,0.2478712797914634,0.5584708771491665,0.6112869994992235,5719775.035818851,-2472888.6996161547,-2828073.791550946,4,-0.0001440378918526134,3.7650658771457185e-05,0.0001648500265542258,3.375350954925423e-05,0.0,0.0,0.0,0.0,-178.7394414044349,0.0,-53.812046039028296,-95.84311962709486,-178.71786291701136,-27.673706617539214,-53.86930227822228,-95.82205709472846,0.0,0.0,0.0,0.0,19.07975917485188,19.539242240238607,20.002063728012722,20.462105469840694,-5.02574214421097,-4.999479033357601,-4.995559822044489,-4.998382834640412,0.00015126777359105183,-1.2433496365815112e-05,5719357.2502238415,-2473274.1969616925,-2828582.1481227167,198.947724151521,263020.17927267146,-1.0,219.9668103937151,8,1.175764710742951,0.0,0.0,1.3623754800386536,1.0323235196875244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000000000,-0.11561208664899165,0.47482953244599524,0.3353421726720741,-0.009337326351552726,-0.031280318705785064,0.008651548632155039,0.19123408875866435,0.31978958466371754,0.40073810850585806,-0.010211946112099121,-0.030635822364214676,0.008579148909470416,0.5391400781070153,0.29433605030873455,0.4922009663171242,0.6167920836261639,5740581.183768797,-2453568.117189179,-2802609.2473193225,4,-0.00012129852380878674,3.151261227574122e-05,0.00016208945909266425,4.17444726469108e-05,0.0,0.0,0.0,0.0,-206.719250975469,0.0,-19.634954084936208,-87.92777876160496,-206.68734299547495,-20.230143912271902,-19.61786360850102,-87.89839028122488,0.0,0.0,0.0,0.0,19.09907475566966,19.548403554833993,20.002275011290457,20.45310145621442,-5.025070869595312,-4.999681247659305,-4.998410075549573,-4.998165364025599,0.00011287372910285738,-3.5765712503625804e-06,5740166.974753529,-2453955.1724952897,-2803119.3378505493,188.66897070924398,263991.02191219723,-1.0,209.6902855085961,8,1.415896148421571,0.0,0.0,1.4657045416590073,0.7518143048429052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000000000,-0.08414735019823132,0.4336534778510617,0.3496502113532968,-0.005808822847486353,-0.029346724841652693,0.007833956473192528,0.21548037429271683,0.27545787250985576,0.3921178006356459,-0.0066477327105566265,-0.028681022238363243,0.007938361126171198,0.5673180325998259,0.337726276300335,0.43173009080628083,0.6145732998396313,5761208.780448587,-2434171.22013414,-2777057.2867958066,4,-9.462512045269083e-05,1.902436431721458e-05,0.0001601372264624002,4.880715389959037e-05,0.0,0.0,0.0,0.0,-229.36080740466107,0.0,14.173982480063325,-78.4784571082294,-229.37488015490868,-14.882578876472918,14.120476459674292,-78.43105090283008,0.0,0.0,0.0,0.0,19.11791600753165,19.557366303944903,20.002288671722994,20.444287612639307,-5.02170462566348,-4.999858434198737,-5.002261213936579,-4.998086001814039,9.215979232036138e-05,-3.859747721671452e-06,5760798.156962346,-2434559.8225894277,-2777569.1017239364,173.6326940403511,264897.69019229466,-1.0,194.65458076109775,8,1.589012884504746,0.0,0.0,1.5282259170036172,0.4757294522971107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000000000,-0.05304903639694953,0.39732889122886034,0.35750892940704726,-0.00231043642502499,-0.02763722712014035,0.007261989656962392,0.2399435204461895,0.23750958930131474,0.38145540490489066,-0.003103411905619429,-0.02693967260559655,0.0075012157375258055,0.5879419009968897,0.3810163699892082,0.37715142874012025,0.6057290208102103,5781657.179597727,-2414698.6099033165,-2751418.704798252,4,-6.80984178867333e-05,7.635884723348189e-06,0.00015684610764354074,5.564708267157621e-05,0.0,0.0,0.0,0.0,-246.4186737659494,0.0,47.3693267299086,-67.49515466696822,-246.45713193018722,-12.120000980785813,47.376214701917704,-67.49786644789783,0.0,0.0,0.0,0.0,19.13620431260466,19.566140182103492,20.002453082173936,20.43565027351069,-5.016783340761347,-4.999953726534832,-5.007430774870881,-4.998121970322809,7.89044597341623e-05,-2.2124777406885287e-06,5781250.15191653,-2415088.7478972417,-2751932.234373266,155.37006129235365,265720.3025904477,-1.0,176.39235783690296,8,1.7063561880472762,0.0,0.0,1.5627730157701651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000000000,-0.02244657724676101,0.3657694625338806,0.3599382121441746,0.0008336787698613136,-0.02586813406263894,0.00622131830547336,0.2647680408841583,0.20544601187384623,0.3692259444798254,9.65938378442652e-05,-0.025144225628003426,0.006561275410397338,0.6017452906981062,0.42409096261356416,0.3290721820116404,0.5914059177741207,5801925.740549459,-2395150.890363774,-2725694.298904563,4,-4.2784609983263596e-05,-7.041770106550845e-07,0.00014962251937806215,6.127633896208494e-05,0.0,0.0,0.0,0.0,-258.1382869853957,0.0,79.58292327550707,-55.223308363883085,-258.09865915707985,-11.425312424784567,79.5589181218737,-55.23689162078771,0.0,0.0,0.0,0.0,19.153901576200656,19.57473449841995,20.002820438852897,20.427174588943085,-5.011042650469239,-5.000008045442349,-5.011903805768387,-4.998307642752916,6.819222342356028e-05,-1.9229354182445526e-06,5801522.31953333,-2395542.551081998,-2726209.532929635,135.3658809294124,266446.5997394081,-1.0,156.38717584113803,8,1.776697034979809,0.4239167408334675,0.0,1.5754076872653016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45000000000,0.007049169892723605,0.33845226008211443,0.35743488970991605,0.0035040787120348424,-0.02424076458398452,0.004633848662177606,0.28955866465325314,0.17880321400544222,0.3552797647386487,0.0028274725985246614,-0.02349550534309881,0.005052182480133348,0.6102560157601151,0.4662635816733667,0.2879189509895066,0.5720913784482474,5822013.8282078,-2375528.6677181385,-2699884.869427828,4,-1.9156562189891724e-05,-6.848387407925167e-06,0.00013863648216840658,6.502784564887007e-05,0.0,0.0,0.0,0.0,-264.6423655260308,0.0,109.8330244126119,-42.03107358806657,-264.6025859983377,-12.233948830629107,109.82321438004628,-41.98525979071466,0.0,0.0,0.0,0.0,19.17099766313565,19.58315899813569,20.00334651770095,20.418844606832614,-5.005068875894283,-5.000083782821121,-5.015225504102077,-4.998634894503401,6.013924947015685e-05,-1.3367343382709443e-06,5821614.025104503,-2375921.8374829795,-2700401.79700741,114.70687682070589,267070.86587251024,-1.0,135.72594524503123,8,1.8082488568594597,0.6347209769700587,0.39927557401182556,1.5728034539012266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
