,SigmaBR  1 [-],SigmaBR  2 [-],SigmaBR  3 [-],OmegaBR  1 [rad/s],OmegaBR  2 [rad/s],OmegaBR  3 [rad/s],SigmaBN  1 [-],SigmaBN  2 [-],SigmaBN  3 [-],OmegaBN_B  1 [rad/s],OmegaBN_B  2 [rad/s],OmegaBN_B  3 [rad/s],BetaBN  1 [-],BetaBN  2 [-],BetaBN  3 [-],BetaBN  4 [-],Position  1 [m],Position  2 [m],Position  3 [m],numRW,RW Torque  1 [Nm],RW Torque  2 [Nm],RW Torque  3 [Nm],RW Torque  4 [Nm],RW Torque Req  1 [Nm],RW Torque Req  2 [Nm],RW Torque Req  3 [Nm],RW Torque Req  4 [Nm],RW Omega  1 [rad/s],RW Omega  2 [rad/s],RW Omega  3 [rad/s],RW Omega  4 [rad/s],RW Omega True  1 [rad/s],RW Omega True  2 [rad/s],RW Omega True  3 [rad/s],RW Omega True  4 [rad/s],RW Volt  1 [V],RW Volt  2 [V],RW Volt  3 [V],RW Volt  4 [V],RW Temp  1 [C],RW Temp  2 [C],RW Temp  3 [C],RW Temp  4 [C],RW Power  1 [W],RW Power  2 [W],RW Power  3 [W],RW Power  4 [W],Panel Angle [rad],Panel Angle Rate [rad/s],Position  1 [m],Position  2 [m],Position  3 [m],Net Power [W],Stored Energy [Ws],Sink Power [W],Supply Power [W],numCSS,CSS Cos Values  1 [-],CSS Cos Values  2 [-],CSS Cos Values  3 [-],CSS Cos Values  4 [-],CSS Cos Values  5 [-],CSS Cos Values  6 [-],CSS Cos Values  7 [-],CSS Cos Values  8 [-],Sun Heading  1 [-],Sun Heading  2 [-],Sun Heading  3 [-],Fault
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204350809138571,0.592432048163409,0.4762642654170614,0.0,0.0,0.0,0.26724966403020517,0.025896349422515466,0.7507593139958064,0.6035457303393635,5634778.048572491,-2549395.9375983677,-2929042.012459956,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.6233763086197,-94.73721661728982,-153.99011002073144,-121.85161683033,-56.6233763086197,-94.73721661728982,-153.99011002073144,-121.85161683033,0.0,0.0,0.0,0.0,19.0,19.5,20.0,20.5,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5634778.092289713,-2549395.741045721,-2929042.056685078,0.0,0.0,-1.0,191.275597359228,8,0.0,0.0,0.0,0.3640201583483022,1.8548940585280762,0.9876498144585867,0.0,0.3759096615663191,0.0,0.0,0.0,0.0
5000000000,-0.29182752529298983,0.7135879108054314,0.2397093054672091,0.00222083625157458,-0.0380882264697012,-0.0012435570545466562,0.04128626059271031,0.5637651520246285,0.4540707552893877,0.0014549675835705577,-0.0381542700829038,-0.0019398333994167293,0.31085999093200867,0.05412050718617678,0.739017182070787,0.595223186161137,5656291.830795765,-2530386.580604931,-2903935.0223098937,4,-0.0001313154886743603,0.00010856865120097187,7.77787231052929e-05,3.177267398359275e-05,0.0,0.0,0.0,0.0,-87.31418644645069,-55.591463752975635,-141.80118403214868,-121.85161683033,-87.36877530210077,-55.61240956795012,-141.76414252903962,-109.95586431301153,0.0,0.0,0.0,0.0,19.020261655345315,19.510505098160305,20.00037620332321,20.490379015386686,-5.011472873423676,-4.996981117851586,-4.994486883005988,-4.998253204085299,5.81165843934623e-05,-0.00022828492206479925,5655863.340896637,-2530767.349019985,-2904438.091890797,180.1223902652443,260068.9878171031,-1.0,201.12345207038476,8,0.0,0.0,0.0,0.5353576274796961,1.7936074762790324,0.8685354798474594,0.0,0.0,0.0,0.0,0.0,0.0
10000000000,-0.2413521895822658,0.6414012333988978,0.2560434317586449,-0.006209608959421806,-0.04766986957029475,0.006423795048402307,0.08731124964901563,0.5004755918278723,0.42633709416753773,-0.007173498766062282,-0.04723379609240754,0.005902032164479561,0.38902162708104143,0.1212772140499547,0.6951714208750983,0.5921914442255964,5677629.699449553,-2511298.526920869,-2878737.4663137756,4,-0.0001426818544473991,3.8112482640712054e-05,0.00013151892949897856,1.555933438818586e-05,0.0,0.0,0.0,0.0,-115.60079217506193,-41.846995893520294,-119.77321991811087,-121.85161683033,-115.59437375726273,-41.827187257657165,-119.76681697905315,-105.59362414152771,0.0,0.0,0.0,0.0,19.040249297819667,19.52033203523344,20.00095723075056,20.480760455032446,-5.016493219611372,-4.9992029310258665,-4.992124198220708,-4.999178516746361,0.00022465571915348035,9.312491897072556e-05,5677204.773112945,-2511680.8777497318,-2879242.319500857,196.0242557148785,261012.232921864,-1.0,217.0311298981601,8,0.466262870918897,0.0,0.0,0.8844371208821771,1.599577413538991,0.5626496383702401,0.0,0.0,0.0,0.0,0.0,0.0
15000000000,-0.19076319640417147,0.5755946677182173,0.2850318870426975,-0.011791847370727368,-0.04192659370190104,0.010576153757065793,0.1312096313871808,0.4322423375358147,0.4130940127980949,-0.012750842457273365,-0.04129403712615869,0.010160305486748115,0.45486703926913497,0.19089256793986228,0.6288551298575008,0.6009968633393704,5698790.9885614505,-2492132.368437306,-2853450.127531192,4,-0.00015367254478341468,3.353496085839294e-05,0.00015995079479284686,2.2986168011842177e-05,0.0,0.0,0.0,0.0,-146.894000247929,-34.852043500761766,-88.72544877130548,-121.85161683033,-146.91680482629258,-34.88577249776587,-88.75721187101708,-101.76737321594995,0.0,0.0,0.0,0.0,19.060094328648386,19.529885698567128,20.001594056317927,20.471320021008523,-5.022577079269104,-4.9994150534923865,-4.992901606708817,-4.998830379030567,0.00021699140922731925,-2.4354526635997856e-05,5698369.631703007,-2492516.2969342,-2853956.7395879114,202.53002496591176,262013.7004498676,-1.0,223.54361631985995,8,0.8560365686712232,0.0,0.0,1.1794702331706899,1.3228832942345334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000000,-0.14982667247315076,0.5215818104722814,0.31410976665864737,-0.01210625397085769,-0.034985981717207536,0.010178909751509297,0.16456473476861916,0.371458449538187,0.4075771705152135,-0.013017069277325535,-0.03433436103916349,0.00991442230041957,0.502424069301023,0.24724601847451233,0.5580881153314117,0.612353751079664,5719775.035846783,-2472888.6996409995,-2828073.791578511,4,-0.0001443377099122876,3.844137721861393e-05,0.00016415943683753726,3.363821886128286e-05,0.0,0.0,0.0,0.0,-178.4940044783732,-27.24349879284899,-54.5483568172134,-121.85161683033,-178.47211207553482,-27.230329354426285,-54.562258920715315,-95.82426750211793,0.0,0.0,0.0,0.0,19.07975072588278,19.539244667411694,20.00205658742333,20.462105377324953,-5.025760255940192,-4.99947661431875,-4.995521545151496,-4.998388321158771,0.0001511408351446975,-1.2388973810217466e-05,5719357.249914286,-2473274.196686787,-2828582.147818163,199.0684262200217,263020.9469942005,-1.0,220.08749469637357,8,1.176574633614058,0.0,0.0,1.358796537533812,1.0349825886537516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000000000,-0.11595819900585945,0.47523902871915125,0.33637203794991494,-0.009465312055892811,-0.031247616473289802,0.008689858794588537,0.19084077891076257,0.3195961837809564,0.4017691115437438,-0.010338741750642845,-0.030601722875837286,0.00861783398939253,0.5384848020402128,0.2936056379637246,0.49169387153705213,0.6181156720392488,5740581.183799882,-2453568.1172180567,-2802609.2473543976,4,-0.00012171909717907363,3.231869161845957e-05,0.0001616033763337522,4.1686404612162e-05,0.0,0.0,0.0,0.0,-206.53517328092272,-19.634954084936208,-20.43262409463674,-121.85161683033,-206.51746872915768,-19.62027639022095,-20.43372599775583,-87.91924451987035,0.0,0.0,0.0,0.0,19.099068291366592,19.54840592675669,20.002272339514725,20.453101042729067,-5.025137119845421,-4.999682949168938,-4.998348920443842,-4.998167481399874,0.00011288242391881241,-3.5614039649795664e-06,5740166.9744085735,-2453955.1721751066,-2803119.3374626017,188.83485410028877,263992.51222336036,-1.0,209.85617728362672,8,1.4171938453737079,0.0,0.0,1.4614034600506434,0.7550618007426741,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000000000,-0.08445371437757691,0.4340527186909451,0.35089315414459776,-0.005938352384276259,-0.02933466047064726,0.007905889652750802,0.21509356352049655,0.2751585544956474,0.39332529681936157,-0.006775945048695084,-0.028667362413354176,0.008010890822096347,0.5665604999735633,0.33695708040976446,0.43105252270270433,0.6161678736375892,5761208.780481304,-2434171.22016492,-2777057.2868386675,4,-9.512983064314658e-05,1.988090214144541e-05,0.0001598025523958459,4.8817057516242844e-05,0.0,0.0,0.0,0.0,-229.29944817314563,-14.1126232485479,13.192234775816514,-121.85161683033,-229.3022829365507,-14.099049458697326,13.219285547409864,-78.4570929587768,0.0,0.0,0.0,0.0,19.117913439598247,19.557368471050154,20.0022867432372,20.444287170599583,-5.0218134873418405,-4.999859849088712,-5.002112475571326,-4.998084977790237,9.221115683756919e-05,-3.854657395052166e-06,5760798.156598948,-2434559.8222476314,-2777569.101249561,173.83535834835678,264900.1070427941,-1.0,194.85720519660742,8,1.5909528166480635,0.0,0.0,1.5232697046607637,0.47936616224422235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000000000,-0.05326807122749616,0.3977021817471557,0.3589847089217614,-0.002443373925891364,-0.027645846196678432,0.007372161131272543,0.23960134347290352,0.23707266033778726,0.38285723532180366,-0.0032346438873034596,-0.026946466436262535,0.007612339178865603,0.5870598595542761,0.38026167452112214,0.37624850301984725,0.6076173501191602,5781657.179630891,-2414698.6099340077,-2751418.7048489833,4,-6.865726961079013e-05,8.559586489551101e-06,0.00015662352330583104,5.572921981432899e-05,0.0,0.0,0.0,0.0,-246.54139222898024,-11.167380135807468,46.44893825717722,-121.85161683033,-246.49624335068876,-11.150292445919733,46.416719385369866,-67.5145750166992,0.0,0.0,0.0,0.0,19.136207144114152,19.56614229864855,20.00244456662388,20.435650030254774,-5.016923759037775,-4.999952279053713,-5.007269950130435,-4.9981187327041114,7.898150370815233e-05,-2.2068116551324173e-06,5781250.151547866,-2415088.7475559963,-2751932.233811436,155.6006467955919,265723.807908534,-1.0,176.62291797663067,8,1.7090728573323775,0.0,0.0,1.5571209832328785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000000000,-0.022531815747882235,0.366103168084747,0.3616725342237355,0.0006991878925444128,-0.025896560714300552,0.006374346165953212,0.2645080807572487,0.20483516477006136,0.3708473412887194,-3.5540528991196084e-05,-0.02517053842032331,0.006715577219982656,0.6007046685439134,0.42339931973571837,0.32788060452939893,0.593617070517951,5801925.740582152,-2395150.890392587,-2725694.2989628753,4,-4.3372424101013453e-05,2.939860868591995e-07,0.00014949027227192946,6.143690115368836e-05,0.0,0.0,0.0,0.0,-258.26100544842654,-10.246991663076082,78.60117557126026,-121.85161683033,-258.25825306902897,-10.254536640912415,78.56227410004367,-55.22852237311479,0.0,0.0,0.0,0.0,19.153910758630637,19.57473682490581,20.002805249344302,20.42717467588534,-5.011201286479697,-4.99999849265445,-5.011744295745517,-4.9983034653650495,6.827600354786549e-05,-1.9218902218412407e-06,5801522.319169658,-2395542.5507613206,-2726209.5322834286,135.61516082408107,266451.309197507,-1.0,156.63644181082077,8,1.7803140733146294,0.4253691068502901,0.0,1.5689347455039522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45000000000,0.007143080925198999,0.33873365562706065,0.35945435226229255,0.003370923121391075,-0.024288587514637108,0.004829967312698882,0.2894195873026199,0.17797999475737494,0.35714835286068175,0.002697566255274998,-0.023540912678781927,0.005249785467722922,0.6090162551696163,0.46568082053439736,0.2863727046596194,0.5746575052598909,5822013.828239182,-2375528.6677437266,-2699884.8694929425,4,-1.9745604531852913e-05,-5.782909289805472e-06,0.00013858210192395907,6.527151952371638e-05,0.0,0.0,0.0,0.0,-264.8878024520925,-10.86058397823034,108.78991747684968,-121.85161683033,-264.8859862074111,-10.847010952991825,108.80715046883915,-41.93478097734958,0.0,0.0,0.0,0.0,19.171013517033252,19.583160600769517,20.003325103304203,20.418845028678252,-5.005230333929681,-5.000062727280406,-5.015078723616329,-4.9986314265623575,6.02204472588595e-05,-1.3372217872856174e-06,5821614.0247552125,-2375921.8371978696,-2700401.7962854384,114.9677919603158,267076.85373415845,-1.0,135.9868503419498,8,1.8129039554541126,0.637111456940216,0.3895546221821008,1.5653471206959977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000000000,0.035331187663992444,0.31491228232198376,0.35276441367198624,0.005523310058686241,-0.02288207279102154,0.0029703860285613774,0.3140047618113261,0.15594369919253503,0.3415264121769214,0.0049108901956716085,-0.022113400101790748,0.003450389648107231,0.613478719870633,0.5066400011206215,0.2516118401450625,0.5510455983212293,5841920.813099971,-2355832.55050131,-2673991.2194546666,4,1.7382168875107817e-06,-1.0334291178655185e-05,0.0001251895753162686,6.731528920261638e-05,0.0,0.0,0.0,0.0,-266.7285793975553,-12.578642460662257,136.52429012182208,-121.85161683033,-266.77645004843373,-12.550270792634663,136.49071920023871,-28.026059854808953,0.0,0.0,0.0,0.0,19.187530568938044,19.59142030676218,20.003947602077808,20.410647914691314,-4.999768142334668,-5.000129698152742,-5.01708721517129,-4.9990567088378315,5.4832963976755244e-05,-8.805756440461731e-07,5841524.638964748,-2356227.2149387808,-2674509.82798124,94.25918768392691,267598.8330434933,-1.0,115.27524584259343,8,1.81406580658184,0.8178920978988491,0.5558006748692309,1.551974383552222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55000000000,0.06173664236917193,0.29404230899809614,0.342152608037398,0.007133450785542913,-0.021614745127600195,0.000990061157196069,0.337952592962673,0.1381587460186966,0.3239309657768224,0.006577623370963165,-0.02082476725256812,0.0015132827744644799,0.6152074171666189,0.5458635348040007,0.22315503131583783,0.5232156985726697,5861646.071275986,-2336063.1494887653,-2648014.1545338565,4,2.0661348732444714e-05,-1.3489338878318743e-05,0.00011035908800428327,6.785661098670483e-05,0.0,0.0,0.0,0.0,-264.3969285999691,-15.09437095279471,161.19070119102318,-121.85161683033,-264.4235938639389,-15.062551470819898,161.20727050680205,-13.84755348110985,0.0,0.0,0.0,0.0,19.203753134336065,19.59951941852318,20.004614373937812,20.402574628414456,-4.997268325957045,-5.000203183861162,-5.01779068735279,-4.999530175975157,5.101529521835638e-05,-6.906980396806281e-07,5861253.537854545,-2336459.29458591,-2648534.43214415,73.79416690741802,268017.79857452866,-1.0,94.8089916576015,8,1.7895562044359372,0.9708354598952408,0.7135102698268381,1.5322310143675346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000000000,0.08609265309817914,0.2756242167439654,0.32823508823279046,0.008199588285866432,-0.020440327875266052,-0.0009894162712476202,0.3608998042097122,0.12409538875669457,0.30445881109672956,0.007693582763058964,-0.019629721002900644,-0.00043721402495876466,0.6150607622378472,0.5828751128784276,0.2004215931555891,0.4917194795199128,5881188.984504546,-2316221.077828571,-2621954.4830582296,4,3.676936959124902e-05,-1.536317464084714e-05,9.484076038367134e-05,6.711521095460159e-05,0.0,0.0,0.0,0.0,-258.3837239114574,-18.100973297050565,182.72779145293757,-121.85161683033,-258.3929366283105,-18.10061148706604,182.73517859931647,0.30976058992331923,0.0,0.0,0.0,0.0,19.219846369302555,19.60746130175758,20.005271866326524,20.39462052030387,-4.995249527306672,-5.000278082855382,-5.017330743287205,-5.000020789647338,4.774184517698206e-05,-6.403730309277968e-07,5880800.102984069,-2316618.689158631,-2622476.416174456,53.73852035960043,268335.43594834185,-1.0,74.75143356812492,8,1.7437804469169165,1.0989475816466223,0.863028672453495,1.5078615377237894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65000000000,0.10817447020618258,0.2592100213148787,0.31164174306186104,0.008750388012748626,-0.01934992502609246,-0.0028661676708914632,0.3824623014886232,0.11323852416254539,0.28329131889445114,0.008286187652620028,-0.018520345869488693,-0.0022957760935866417,0.613743482809099,0.6171960464474344,0.18273793037022829,0.45715951960231466,5900548.9401618475,-2296306.9509243043,-2595813.0159698413,4,4.9991141438151585e-05,-1.6216695577218418e-05,7.930779377343658e-05,6.528806149346916e-05,0.0,0.0,0.0,0.0,-249.3025576471744,-21.41437179888355,201.0128424445344,-121.85161683033,-249.2844817292298,-21.420922925045193,201.00009692646904,14.195150490867348,0.0,0.0,0.0,0.0,19.23576900809205,19.615248974435964,20.005875686979145,20.386825816197486,-4.993768992107769,-5.000347376586059,-5.015940874235485,-5.000926773858157,4.4457996447474905e-05,-6.799472663720035e-07,5900163.721513669,-2296706.0140666137,-2596336.5901061865,34.16792249784291,268554.0134644181,-1.0,55.17894714205949,8,1.680089606351092,1.204928253294408,1.0043847493890856,1.4795461024457697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70000000000,0.1278356699208005,0.24438768892195276,0.2929965973832126,0.008842889730616331,-0.018348380076944882,-0.0045504616163957986,0.4022898038847463,0.1050683778034895,0.26067400180268596,0.008412257856347293,-0.017502059315157123,-0.003969341967853668,0.611827739544996,0.6484218652375504,0.16935212589265813,0.42016158708377155,5919725.33127842,-2276321.386443127,-2569590.5667972923,4,6.041989966159356e-05,-1.6366401352516233e-05,6.435654734568058e-05,6.259056904163411e-05,0.0,0.0,0.0,0.0,-237.64430365924355,-24.85048876374739,216.0458541658137,-121.85161683033,-237.69601666141304,-24.842245392759104,216.0617170908644,27.604631128552903,0.0,0.0,0.0,0.0,19.251478658041773,19.622885143113876,20.006393499856646,20.379221810249728,-4.992819215261679,-5.000406578158596,-5.013904986125548,-5.001727789570521,4.0967253896734104e-05,-7.251931508037061e-07,5919343.786274517,-2276721.8870778093,-2570115.766615103,15.108769060701245,268676.0368325328,-1.0,36.11767094370489,8,1.6011006407633404,1.2911730012926068,1.1373203447183036,1.4472479841890373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75000000000,0.14502064517699575,0.230789175947494,0.27290252624446015,0.008554642131414035,-0.01743591607314709,-0.005975374077704296,0.420101462650667,0.09906678888024051,0.23690766245319803,0.00814979100767347,-0.01657552978404706,-0.00538827216132999,0.6097554941929223,0.6762606376203939,0.15947330769201745,0.3813634112504378,5938717.556556001,-2256265.004299845,-2543287.9516282505,4,6.827580617336799e-05,-1.609541774791747e-05,5.0451458009110214e-05,5.9254524166421976e-05,0.0,0.0,0.0,0.0,-224.14527272584988,-28.2252464970958,228.07226354283713,-121.85161683033,-224.19183380575808,-28.24727212306647,228.0925335838321,40.37972497955697,0.0,0.0,0.0,0.0,19.26693656092612,19.63037234640409,20.006805863353218,20.37179952466462,-4.992346560904713,-5.00045465164506,-5.011507600880297,-5.002392681389635,3.7288996785148616e-05,-7.511238049313353e-07,5938339.695819861,-2256666.928267664,-2543814.7610221016,-3.425667214318292,268704.0952697306,-1.0,17.581076922800438,8,1.5090054444568084,1.3597563520986369,1.2612761735003681,1.4105252658585394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
