,SigmaBR  1 [-],SigmaBR  2 [-],SigmaBR  3 [-],OmegaBR  1 [rad/s],OmegaBR  2 [rad/s],OmegaBR  3 [rad/s],SigmaBN  1 [-],SigmaBN  2 [-],SigmaBN  3 [-],OmegaBN_B  1 [rad/s],OmegaBN_B  2 [rad/s],OmegaBN_B  3 [rad/s],BetaBN  1 [-],BetaBN  2 [-],BetaBN  3 [-],BetaBN  4 [-],Position  1 [m],Position  2 [m],Position  3 [m],numRW,RW Torque  1 [Nm],RW Torque  2 [Nm],RW Torque  3 [Nm],RW Torque  4 [Nm],RW Torque Req  1 [Nm],RW Torque Req  2 [Nm],RW Torque Req  3 [Nm],RW Torque Req  4 [Nm],RW Omega  1 [rad/s],RW Omega  2 [rad/s],RW Omega  3 [rad/s],RW Omega  4 [rad/s],RW Omega True  1 [rad/s],RW Omega True  2 [rad/s],RW Omega True  3 [rad/s],RW Omega True  4 [rad/s],RW Volt  1 [V],RW Volt  2 [V],RW Volt  3 [V],RW Volt  4 [V],RW Temp  1 [C],RW Temp  2 [C],RW Temp  3 [C],RW Temp  4 [C],RW Power  1 [W],RW Power  2 [W],RW Power  3 [W],RW Power  4 [W],Panel Angle [rad],Panel Angle Rate [rad/s],Position  1 [m],Position  2 [m],Position  3 [m],Net Power [W],Stored Energy [Ws],Sink Power [W],Supply Power [W],numCSS,CSS Cos Values  1 [-],CSS Cos Values  2 [-],CSS Cos Values  3 [-],CSS Cos Values  4 [-],CSS Cos Values  5 [-],CSS Cos Values  6 [-],CSS Cos Values  7 [-],CSS Cos Values  8 [-],Sun Heading  1 [-],Sun Heading  2 [-],Sun Heading  3 [-],Fault
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204350809138571,0.592432048163409,0.4762642654170614,0.0,0.0,0.0,0.26724966403020517,0.025896349422515466,0.7507593139958064,0.6035457303393635,5634778.048572491,-2549395.9375983677,-2929042.012459956,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.6233763086197,-94.73721661728982,-153.99011002073144,-121.85161683033,-56.6233763086197,-94.73721661728982,-153.99011002073144,-121.85161683033,0.0,0.0,0.0,0.0,19.0,19.5,20.0,20.5,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5634778.092289713,-2549395.741045721,-2929042.056685078,0.0,0.0,-1.0,191.275597359228,8,0.0,0.0,0.0,0.3640201583483022,1.8548940585280762,0.9876498144585867,0.0,0.3759096615663191,0.0,0.0,0.0,0.0
5000000000,-0.29183061557458095,0.7135809480553773,0.2397053515305505,0.002226830154693306,-0.03809357762609196,-0.0012525485766296893,0.04128349575354191,0.5637621987735508,0.45406341456869287,0.0014612154981977737,-0.03815984708698676,-0.001949042713312904,0.3108687756652357,0.05411724553362644,0.7390182632726258,0.5952175523300388,5656291.830795568,-2530386.5806048433,-2903935.022309774,4,-0.00013147687915024742,0.00010857848992949438,7.790663448349162e-05,3.175902521009108e-05,0.0,0.0,0.0,0.0,-87.37554567796612,-55.591463752975635,-141.73982480063324,-109.95574287564276,-87.38085069142278,-55.60850489739319,-141.74868505321612,-109.95709869995494,0.0,0.0,0.0,0.0,19.020262345216373,19.510505142779756,20.000376663454336,20.49037898636843,-5.011488561546402,-4.996981056255502,-4.9944784185025215,-4.99825393486518,5.8128155446675724e-05,-0.00022826679500790703,5655863.340898652,-2530767.349020907,-2904438.0918919914,180.12285213606344,260068.9886258365,-1.0,201.1239216415769,8,0.0,0.0,0.0,0.5353633776527479,1.793605159277636,0.868527834432704,0.0,0.0,0.0,0.0,0.0,0.0
10000000000,-0.2413576372519615,0.64136625567904,0.2560115902389237,-0.006189908780901969,-0.04768474192133052,0.006407574086701017,0.0873067446247981,0.5004674150542044,0.42629237257600217,-0.007153624065121532,-0.04724891538665082,0.005885753407464864,0.3890670675076557,0.12127492372960806,0.6951828046124805,0.5921486958750283,5677629.699448298,-2511298.526920045,-2878737.4663129267,4,-0.00014281021516823717,3.8006660133602494e-05,0.00013170771981476208,1.55331267781286e-05,0.0,0.0,0.0,0.0,-115.66215140657735,-41.846995893520294,-119.71186068659544,-105.59923743804754,-115.62866818404086,-41.832220259199964,-119.71824939102939,-105.59917212902128,0.0,0.0,0.0,0.0,19.040251210334926,19.520331987835288,20.00095841828435,20.480760334149,-5.0165129549829794,-4.999205048510987,-4.992116091176246,-4.999179857335827,0.00022474470374006546,9.312819508876869e-05,5677204.773126655,-2511680.8777586827,-2879242.319510142,196.02410224062686,261012.23614613703,-1.0,217.03099134251028,8,0.46627799356472105,0.0,0.0,0.8845304185557399,1.5995210975627128,0.5626498340449909,0.0,0.0,0.0,0.0,0.0,0.0
15000000000,-0.19076684475067232,0.5755271789662832,0.2849491152773211,-0.011760452794550399,-0.041944140100048606,0.01055479025670171,0.13120818511365406,0.43223692098427613,0.41299141427262126,-0.012719388476083116,-0.04131182904493137,0.010138835712660737,0.45496210070338416,0.19090293664244062,0.628888338556845,0.6008868556825546,5698790.988558724,-2492132.3684350946,-2853450.127528946,4,-0.00015375367072029768,3.330833806754594e-05,0.00016020424994405888,2.2954821600824237e-05,0.0,0.0,0.0,0.0,-146.95535947944444,-34.91340273227719,-88.66408953979006,-101.73360585257572,-146.96341388619248,-34.925524898579894,-88.66251949070406,-101.77888755155469,0.0,0.0,0.0,0.0,19.06009762086975,19.529885410481473,20.001595741517686,20.471319783510697,-5.022596164346589,-4.999418344404746,-4.9928979437834204,-4.998831841896762,0.00021705085843779016,-2.4368555048267182e-05,5698369.631733046,-2492516.2969584954,-2853956.739612524,202.52341418261176,262013.6890253955,-1.0,223.5370255890914,8,0.8560012703054063,0.0,0.0,1.179743146817248,1.322693484796126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000000,-0.14983427191926926,0.5214885874941126,0.3139517702679729,-0.012062958654155935,-0.03500135054836233,0.010144129555021381,0.1645637732403673,0.3714730830066762,0.4074005104556505,-0.012973784929561397,-0.03435011539928971,0.00987932873568717,0.5025746660690561,0.24726935662370877,0.5581660436523992,0.612149685954262,5719775.03584258,-2472888.6996373828,-2828073.79157394,4,-0.0001443800461203569,3.809624819892989e-05,0.00016447203247002394,3.359499288030151e-05,0.0,0.0,0.0,0.0,-178.55536370988864,-27.304858024364414,-54.42563835418255,-95.84311962709486,-178.52236107699375,-27.32947028371388,-54.40825859130095,-95.84337127957646,0.0,0.0,0.0,0.0,19.079755415936766,19.539244117332892,20.002058230998518,20.46210501030546,-5.025775066725811,-4.999479424858463,-4.9955256815631675,-4.998390071312119,0.00015113083368284788,-1.240026939270208e-05,5719357.249960847,-2473274.196726757,-2828582.1478683082,199.05165604901507,263020.8770032727,-1.0,220.07074800576586,8,1.1763961069032662,0.0,0.0,1.3593157363904576,1.0346347219460235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000000000,-0.11598488530619877,0.47512678972137473,0.3361059266219139,-0.009407938656349712,-0.03126031879528019,0.008632124072755853,0.19083068921580162,0.3196538667910748,0.4014938955423955,-0.010281499318977722,-0.030615050892634055,0.00855957395959391,0.5387073828783514,0.29363259037611816,0.4918537647970399,0.6177816212516736,5740581.183794014,-2453568.1172134047,-2802609.2473463933,4,-0.000121705967649107,3.1831178433828674e-05,0.00016195173220310893,4.161364243638931e-05,0.0,0.0,0.0,0.0,-206.53517328092272,-19.757672547967058,-20.248546400090465,-87.98913799312038,-206.5618142826182,-19.805843777692324,-20.21028240786815,-87.95018659190025,0.0,0.0,0.0,0.0,19.099074145124558,19.548405193674835,20.00227316072263,20.453100500707993,-5.025139805486621,-4.99968477832634,-4.9983634548778655,-4.998170036191476,0.00011283661157150362,-3.5628086531976093e-06,5740166.97447352,-2453955.1722266306,-2803119.3375506527,188.80890758515974,263992.3339882437,-1.0,209.83025248560187,8,1.4167641328945164,0.0,0.0,1.4622723014885768,0.7545691387021171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000000000,-0.08451910459936549,0.4339274379375186,0.3504791169904734,-0.005865664062029713,-0.029343883175714104,0.007819360560762257,0.2150620556121899,0.2752865261875423,0.3929190575732836,-0.006703643705716955,-0.028677462892134572,0.00792365574100251,0.5668826870835999,0.3369770115873507,0.4313416918706461,0.6156580687367823,5761208.780473464,-2434171.220159718,-2777057.2868261696,4,-9.504256207768901e-05,1.9233448054292226e-05,0.0001601679281322937,4.870458403428923e-05,0.0,0.0,0.0,0.0,-229.29944817314563,-14.419419406125026,13.499030933393643,-78.4784571082294,-229.3271233447308,-14.403029175229571,13.517959110838355,-78.50713841127468,0.0,0.0,0.0,0.0,19.11791984927699,19.557367613851827,20.002287469858125,20.44428639278742,-5.021795837356589,-4.9998614900432665,-5.00216514350336,-4.998088171239978,9.216828766026815e-05,-3.8502966613525485e-06,5760798.156685816,-2434559.8223054446,-2777569.101387322,173.8029970675207,264899.7814718591,-1.0,194.82488410470435,8,1.590157237133682,0.0,0.0,1.5246518069752375,0.47873347891738977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000000000,-0.05339560010373484,0.3975727820788559,0.3583808379422106,-0.002356347498392129,-0.027648278160707942,0.007252951118627258,0.2395337239225737,0.23730321897171183,0.382284999867842,-0.0031484412149496844,-0.02695003686831061,0.007492216378084462,0.5875144607007495,0.3802632505525868,0.37672229168842897,0.6068829653991833,5781657.179620843,-2414698.60992886,-2751418.7048311457,4,-6.849507381130643e-05,7.749890610835355e-06,0.0001569877712678069,5.556568412818261e-05,0.0,0.0,0.0,0.0,-246.54139222898024,-11.596894756415448,46.81709364626977,-67.61787312999907,-246.48563739626417,-11.606854929521461,46.792352865841345,-67.59325777311754,0.0,0.0,0.0,0.0,19.136213241404572,19.566141280028496,20.002448028127123,20.435648985077435,-5.016883051926884,-4.99995502407198,-5.007345827188785,-4.998122067194692,7.895697094356904e-05,-2.2026609313385607e-06,5781250.151659271,-2415088.7476134165,-2751932.2340082955,155.56515960947192,265723.3110769869,-1.0,176.5874721991764,8,1.7077920160651403,0.0,0.0,1.5592194299281594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000000000,-0.02275022908175184,0.36598350959838577,0.36083799741190087,0.0007980332058824448,-0.025887598981463984,0.006219514503550759,0.26438510916927793,0.205206433430847,0.3700751781596048,6.185957942817586e-05,-0.025162998678501393,0.006559639065426256,0.6013261494449281,0.42336678883661677,0.32860242788714517,0.5926110600474657,5801925.740569874,-2395150.8903882676,-2725694.2989391903,4,-4.314959392183531e-05,-6.56306202058631e-07,0.00014983130106876528,6.121379377645948e-05,0.0,0.0,0.0,0.0,-258.1996462169111,-10.86058397823034,78.9693309603528,-55.346026826913935,-258.1975890322495,-10.895571685223343,79.01226017185004,-55.3473232742648,0.0,0.0,0.0,0.0,19.15391568407878,19.57473553539102,20.00281228589589,20.427173396989346,-5.011141121118339,-5.000007150831272,-5.011838509741932,-4.998305990183505,6.827079277156792e-05,-1.916745795504911e-06,5801522.319305888,-2395542.550809656,-2726209.5325452494,135.58046598553315,266450.6351842241,-1.0,156.6017912358208,8,1.7784202227150314,0.4237753376158989,0.0,1.5719679938855973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45000000000,0.006800125081312978,0.3386427263415083,0.35835200258213623,0.0034787332850186423,-0.02426355314237551,0.004638516835108408,0.28921669194156935,0.1785352254973833,0.35614587630081135,0.0028031186117365246,-0.023517596948787394,0.00505706929426659,0.6098380333713629,0.46559203057338727,0.28741279630222033,0.5733371770974188,5822013.8282248825,-2375528.6677411315,-2699884.8694632864,4,-1.9487471682966792e-05,-6.83500438835211e-06,0.00013887781298625512,6.498385406656745e-05,0.0,0.0,0.0,0.0,-264.7650839890617,-11.658253987930873,109.3421505604885,-42.092432819581994,-264.76499148767255,-11.698379777242206,109.32448859987979,-42.106741875483685,0.0,0.0,0.0,0.0,19.17101668518906,19.58315991107971,20.00333625016037,20.418843642822797,-5.005159600274257,-5.000079958477114,-5.015182745882592,-4.998631870815372,6.02258347275791e-05,-1.3371134292228014e-06,5821614.024913945,-2375921.8372272956,-2700401.7966136555,114.9384007005086,267076.0177810698,-1.0,135.95751046864805,8,1.8102530662548089,0.6347137801705983,0.39398998842896615,1.5695292745131768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
