,SigmaBR  1 [-],SigmaBR  2 [-],SigmaBR  3 [-],OmegaBR  1 [rad/s],OmegaBR  2 [rad/s],OmegaBR  3 [rad/s],SigmaBN  1 [-],SigmaBN  2 [-],SigmaBN  3 [-],OmegaBN_B  1 [rad/s],OmegaBN_B  2 [rad/s],OmegaBN_B  3 [rad/s],BetaBN  1 [-],BetaBN  2 [-],BetaBN  3 [-],BetaBN  4 [-],Position  1 [m],Position  2 [m],Position  3 [m],numRW,RW Torque  1 [Nm],RW Torque  2 [Nm],RW Torque  3 [Nm],RW Torque  4 [Nm],RW Torque Req  1 [Nm],RW Torque Req  2 [Nm],RW Torque Req  3 [Nm],RW Torque Req  4 [Nm],RW Omega  1 [rad/s],RW Omega  2 [rad/s],RW Omega  3 [rad/s],RW Omega  4 [rad/s],RW Omega True  1 [rad/s],RW Omega True  2 [rad/s],RW Omega True  3 [rad/s],RW Omega True  4 [rad/s],RW Volt  1 [V],RW Volt  2 [V],RW Volt  3 [V],RW Volt  4 [V],RW Temp  1 [C],RW Temp  2 [C],RW Temp  3 [C],RW Temp  4 [C],RW Power  1 [W],RW Power  2 [W],RW Power  3 [W],RW Power  4 [W],Panel Angle [rad],Panel Angle Rate [rad/s],Position  1 [m],Position  2 [m],Position  3 [m],Net Power [W],Stored Energy [Ws],Sink Power [W],Supply Power [W],numCSS,CSS Cos Values  1 [-],CSS Cos Values  2 [-],CSS Cos Values  3 [-],CSS Cos Values  4 [-],CSS Cos Values  5 [-],CSS Cos Values  6 [-],CSS Cos Values  7 [-],CSS Cos Values  8 [-],Sun Heading [-],Fault
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28010017024842093,0.06922737382068189,-0.7134468824341793,0.0,0.0,0.0,0.25608022218531495,-0.3518282840797811,0.08695513508998796,-0.8961465186053442,3910323.615876741,-3583795.8801559894,-4323715.178017637,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50889206047475,47.79676296821123,-172.42629505997118,-86.70473903169992,184.50889206047475,47.79676296821123,-172.42629505997118,-86.70473903169992,0.0,0.0,0.0,0.0,19.0,19.5,20.0,20.5,-5.0,-5.0,-5.0,-5.0,0.0,0.0,3910323.7198356357,-3583795.9012951674,-4323715.001253151,0.0,0.0,-1.0,160.05195365647242,8,0.0,0.0,0.0,0.0,1.8404044435596258,0.3757017866565512,0.0,1.3418745558692484,,0.0
5000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801000858740492,0.06922697360313836,-0.7134481893407769,2.4903707918417615e-07,5.797679903518572e-07,-1.1968983945516497e-06,0.2560788320895106,-0.35182778873284737,0.08695453615252141,-0.8961471684235391,3941542.9151886646,-3570989.5068528275,-4305940.751132543,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.50784461388665,47.79571519089209,-172.42524666552146,-86.70369162162997,0.0,0.0,0.0,0.0,19.01980533988178,19.50990264792839,20.000000085373383,20.49009741866698,-5.0,-5.0,-5.0,-5.0,2.544777849185688e-09,1.3230330904908329e-09,3940919.829428252,-3571246.7435199707,-4306297.378845288,139.05182002432943,259895.2595571876,-1.0,160.05182002432943,8,0.0,0.0,0.0,0.0,1.8404034120059654,0.3756977874565283,0.0,1.341878200861223,,0.0
10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28009914093819804,0.06922551649756473,-0.7134516342689057,9.424162463996218e-07,1.2609944847261503e-06,-1.927045453496987e-06,0.2560755311037903,-0.35182567721566255,0.08695247740061282,-0.8961491404311829,3972639.816620586,-3558072.2418723446,-4288032.232698849,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.76195336281187,184.50679672295638,47.7946673121144,-172.42419873782342,-86.70264479615714,0.0,0.0,0.0,0.0,19.039218430084556,19.519609171452963,20.000000169055397,20.48039096041779,-5.0,-5.0,-5.0,-5.0,1.6527441489463054e-09,-8.64269900091587e-10,3972019.1883165017,-3558331.6924743913,-4288391.536815921,139.05139073770576,260590.51765280342,-1.0,160.05139073770576,8,0.0,0.0,0.0,0.0,1.8404015841150063,0.37569292091833245,0.0,1.3418847292370217,,0.0
15000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800970956918757,0.06922239768408889,-0.713456146566194,1.951216797881771e-06,1.4757789332848155e-06,-2.3204303432714418e-06,0.2560716963745186,-0.35182203413527013,0.08694829448616508,-0.8961520723062265,4003613.352079773,-3545044.4841712,-4269990.177803127,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.5057485166047,47.79361989977876,-172.42315114688736,-86.70159807792216,0.0,0.0,0.0,0.0,19.058247039210695,19.529123454866298,20.000000251079545,20.470876740986014,-5.0,-5.0,-5.0,-5.0,-4.1271794278449645e-10,-3.0451398439860845e-10,4002995.200556195,-3545306.1406947635,-4270352.147181431,139.05095833466848,261285.77340510683,-1.0,160.05095833466848,8,0.0,0.0,0.0,0.0,1.8404008797695388,0.3756911484808253,0.0,1.3418903412377852,,0.0
20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28009480860274877,0.06921714517831658,-0.7134609293767661,2.8869584533310497e-06,1.0398806344524194e-06,-2.784161974496371e-06,0.25606789700047733,-0.3518180972024058,0.08694143398050483,-0.8961553691542806,4034462.5572475893,-3531906.636136262,-4251815.145692055,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.5047003833119,47.79257313812586,-172.4221034856045,-86.70055090122011,0.0,0.0,0.0,0.0,19.076898782003468,19.538449305531554,20.00000033147867,20.461550953034095,-5.0,-5.0,-5.0,-5.0,-2.13535594539851e-09,-2.1792591435125307e-10,4033846.901753354,-3532170.4904990643,-4252179.769105667,139.0509973301124,261981.02801518425,-1.0,160.0509973301124,8,0.0,0.0,0.0,0.0,1.840401592414822,0.3756911154944495,0.0,1.3418911595712566,,0.0
25000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800935298814911,0.06920980821355646,-0.7134661153817992,3.421292087467563e-06,3.045934732051114e-07,-3.667451656660412e-06,0.25606342572309143,-0.3518152386658188,0.08693190879835788,-0.8961586930238091,4065186.4716095333,-3518659.1035727533,-4233507.699755791,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.5036526514269,47.79152667586183,-172.42105540476362,-86.69950307768076,0.0,0.0,0.0,0.0,19.095181122394276,19.54759045540616,20.00000041028495,20.452409864629743,-5.0,-5.0,-5.0,-5.0,-2.1553680647675702e-09,1.9490385601746305e-10,4064573.331317584,-3518925.1476241513,-4233874.965896351,139.05177353275835,262676.2846744976,-1.0,160.05177353275835,8,0.0,0.0,0.0,0.0,1.840402147562092,0.3756872661388954,0.0,1.3418864198826659,,0.0
30000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800938726519568,0.06920091667252228,-0.7134726576013113,3.5561937210968425e-06,-1.3245925953550055e-07,-4.974250222465824e-06,0.2560568809423332,-0.3518138360542759,0.08692028755403863,-0.8961622409443403,4095784.1384852026,-3505302.295692284,-4215068.40751127,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.5026053189741,47.79047991536341,-172.420006900414,-86.69845495120217,0.0,0.0,0.0,0.0,19.113101376489485,19.556550562535158,20.000000487529928,20.443449817752512,-5.0,-5.0,-5.0,-5.0,-4.1177870890867626e-10,4.4678341026837805e-10,4095173.532491646,-3505570.521213892,-4215438.304988163,139.05312526007933,263371.54683449364,-1.0,160.05312526007933,8,0.0,0.0,0.0,0.0,1.8404003983890886,0.3756744153740791,0.0,1.341879099446173,,0.0
35000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800953084028775,0.06919104497987774,-0.7134815451316389,3.6223274429212058e-06,8.092198366304306e-08,-6.360004321812446e-06,0.2560473201012108,-0.35181296149235647,0.08690722662197778,-0.8961665827042661,4126254.6050581234,-3491836.625100784,-4196497.840585351,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.50155805528917,47.78943250443094,-172.41895831710883,-86.69740711496358,0.0,0.0,0.0,0.0,19.13066671549818,19.56533321251513,20.000000563244544,20.43466722682999,-5.0,-5.0,-5.0,-5.0,1.6455642522690364e-09,3.175455898229957e-10,4125646.552381171,-3492107.023806874,-4196870.357925786,139.05459644125895,264066.81626237434,-1.0,160.05459644125895,8,0.0,0.0,0.0,0.0,1.8403953923426088,0.37565201571719903,0.0,1.3418734668868666,,0.0
40000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28009660188728897,0.06918033935984533,-0.7134929892036411,4.006938816564734e-06,7.61703136862844e-07,-7.4151894132502535e-06,0.256035035301064,-0.3518111452392091,0.08689292998998291,-0.896172191881457,4156596.922405446,-3478262.5077863988,-4177796.574697802,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.50051047312647,47.788384626098605,-172.41791006437245,-86.69635992330556,0.0,0.0,0.0,0.0,19.14788416860184,19.573941919929027,20.000000637459085,20.426058577302868,-5.0,-5.0,-5.0,-5.0,2.327164530709463e-09,-6.649254480351175e-11,4155991.4419846283,-3478535.071323958,-4178171.700347022,139.05581192399498,264762.09248292254,-1.0,160.05581192399498,8,0.0,0.0,0.0,0.0,1.84038815501922,0.3756246077711739,0.0,1.341871569369946,,0.0
45000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28009682757284754,0.06916839746840152,-0.7135062493278342,4.835203305645693e-06,1.3422450436488277e-06,-8.002293137800724e-06,0.25602131290731767,-0.35180758510922255,0.08687698139995687,-0.8961790560483224,4186810.1455275235,-3464580.3631071993,-4158965.189644177,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.49946244731072,47.787336848005516,-172.41686227971744,-86.69531320016462,0.0,0.0,0.0,0.0,19.16476062576728,19.58238012975257,20.000000710203274,20.41762042421858,-5.0,-5.0,-5.0,-5.0,1.0728158465292403e-09,-3.9741331706959e-10,4186207.2562233326,-3464855.08305579,-4159342.911965894,139.05678619147508,265457.37406566506,-1.0,160.05678619147508,8,0.0,0.0,0.0,0.0,1.8403808462431097,0.3755980839133175,0.0,1.3418715478938386,,0.0
