,SigmaBR  1 [-],SigmaBR  2 [-],SigmaBR  3 [-],OmegaBR  1 [rad/s],OmegaBR  2 [rad/s],OmegaBR  3 [rad/s],SigmaBN  1 [-],SigmaBN  2 [-],SigmaBN  3 [-],OmegaBN_B  1 [rad/s],OmegaBN_B  2 [rad/s],OmegaBN_B  3 [rad/s],BetaBN  1 [-],BetaBN  2 [-],BetaBN  3 [-],BetaBN  4 [-],Position  1 [m],Position  2 [m],Position  3 [m],numRW,RW Torque  1 [Nm],RW Torque  2 [Nm],RW Torque  3 [Nm],RW Torque  4 [Nm],RW Torque Req  1 [Nm],RW Torque Req  2 [Nm],RW Torque Req  3 [Nm],RW Torque Req  4 [Nm],RW Omega  1 [rad/s],RW Omega  2 [rad/s],RW Omega  3 [rad/s],RW Omega  4 [rad/s],RW Omega True  1 [rad/s],RW Omega True  2 [rad/s],RW Omega True  3 [rad/s],RW Omega True  4 [rad/s],RW Volt  1 [V],RW Volt  2 [V],RW Volt  3 [V],RW Volt  4 [V],RW Temp  1 [C],RW Temp  2 [C],RW Temp  3 [C],RW Temp  4 [C],RW Power  1 [W],RW Power  2 [W],RW Power  3 [W],RW Power  4 [W],Panel Angle [rad],Panel Angle Rate [rad/s],Position  1 [m],Position  2 [m],Position  3 [m],Net Power [W],Stored Energy [Ws],Sink Power [W],Supply Power [W],numCSS,CSS Cos Values  1 [-],CSS Cos Values  2 [-],CSS Cos Values  3 [-],CSS Cos Values  4 [-],CSS Cos Values  5 [-],CSS Cos Values  6 [-],CSS Cos Values  7 [-],CSS Cos Values  8 [-],Sun Heading  1 [-],Sun Heading  2 [-],Sun Heading  3 [-],Fault
0,0.0,0.0,0.0,0.0,0.0,0.0,0.02043508091385715,0.5924320481634096,0.47626426541706146,0.0,0.0,0.0,0.26724966403020456,0.02589634942251552,0.7507593139958068,0.6035457303393633,5634778.0485724965,-2549395.937598371,-2929042.012459957,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.6233763086197,-94.73721661728982,-153.99011002073144,-121.85161683033,-56.6233763086197,-94.73721661728982,-153.99011002073144,-121.85161683033,0.0,0.0,0.0,0.0,19.0,19.5,20.0,20.5,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5634778.092289719,-2549395.741045724,-2929042.056685079,0.0,0.0,-1.0,191.2755973592278,8,0.0,0.0,0.0,0.3640201583483013,1.8548940585280767,0.9876498144585896,0.0,0.37590966156631905,0.0,0.0,0.0,0.0
5000000000,-0.2918279486938136,0.7135812025978943,0.23970199274312462,0.0022302732166874515,-0.03809449645944024,-0.001250841203327809,0.041286054762951586,0.5637644368786989,0.4540610904267972,0.001464698082515471,-0.03816079306468633,-0.0019472885871054532,0.3108682393520917,0.05412057791690438,0.7390208947805035,0.5952142621660665,5656291.8307954995,-2530386.5806047916,-2903935.022309648,4,-0.0001314620145068342,0.00010857055288869326,7.791023625189507e-05,3.1765104345281295e-05,0.0,0.0,0.0,0.0,-87.43690490948156,-55.591463752975635,-141.73982480063324,-109.95574287564276,-87.38861084678732,-55.60926583811804,-141.74844237357775,-109.95643684782861,0.0,0.0,0.0,0.0,19.02026201825212,19.510505133757793,20.0003766709454,20.49037900179577,-5.011488282826872,-4.996981235631111,-4.994478172683168,-4.998253611155047,5.813357002060623e-05,-0.00022826346336615912,5655863.340899445,-2530767.349021455,-2904438.0918933796,180.1225233432655,260068.9880051357,-1.0,201.12359217834978,8,0.0,0.0,0.0,0.5353753689340647,1.7935997266914732,0.8685388051923927,0.0,0.0,0.0,0.0,0.0,0.0
10000000000,-0.2413475066426786,0.641367888236311,0.25600248528039055,-0.006185243876166257,-0.047685898358697944,0.006411655770846815,0.08731661065044416,0.5004737523903557,0.4262865737835651,-0.007148948353175802,-0.047250070205630615,0.005889872872641296,0.38906405534989275,0.1212883652895136,0.6951901000915256,0.5921393569210103,5677629.699448031,-2511298.5269198525,-2878737.466312527,4,-0.00014278898434319005,3.799504581564278e-05,0.0001317176715368872,1.554442450053202e-05,0.0,0.0,0.0,0.0,-115.66215140657735,-41.846995893520294,-119.71186068659544,-105.59923743804754,-115.64196577882163,-41.835216885150935,-119.71658594642787,-105.59673641537289,0.0,0.0,0.0,0.0,19.04025041739263,19.520331962027402,20.00095845964559,20.4807603871828,-5.016512398841008,-4.999205234508871,-4.992115605027395,-4.999179279751644,0.00022475111180774053,9.312426459207051e-05,5677204.773129465,-2511680.8777607875,-2879242.3195144283,196.02290693630115,261012.23193588242,-1.0,217.0297945687774,8,0.46625428078455294,0.0,0.0,0.8845735377740571,1.5994986160924802,0.5626820952603127,0.0,0.0,0.0,0.0,0.0,0.0
15000000000,-0.1907476407637071,0.5755328272123119,0.2849348780322305,-0.011755302870820973,-0.041944097380911156,0.010560213141954596,0.13122738131500805,0.4322483578243737,0.41298401857776196,-0.012714224756861564,-0.04131176328244384,0.010144254508738267,0.4549527693146687,0.19092964185418299,0.6289009452482903,0.6008722415124154,5698790.988558274,-2492132.368434752,-2853450.127528192,4,-0.00015373021590000627,3.32998777648099e-05,0.000160217088492706,2.2970891029088625e-05,0.0,0.0,0.0,0.0,-146.95535947944444,-34.91340273227719,-88.66408953979006,-101.79496508409115,-146.9813295434723,-34.93062848099563,-88.65853065872658,-101.77355056829533,0.0,0.0,0.0,0.0,19.060096229309778,19.529885374652725,20.001595813240694,20.47131989385362,-5.022595471523988,-4.999418407170667,-4.992897694173909,-4.998831085430126,0.00021704170753376732,-2.437028119424859e-05,5698369.631737976,-2492516.296962228,-2853956.739620763,202.52103046552466,262013.67573549948,-1.0,223.53464002260048,8,0.8559581724848891,0.0,0.0,1.179817264378315,1.3226527832864783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000000,-0.1498067151880915,0.5215006999460039,0.31393288123588037,-0.012057325615696297,-0.0350000717067255,0.010149485579071187,0.1645920789152041,0.37149080274627755,0.407393185802313,-0.01296812502997042,-0.034348805427362815,0.009884633929738153,0.50255602419175,0.24730881970828386,0.5581857435982485,0.6121310855419343,5719775.03584193,-2472888.6996369767,-2828073.7915727296,4,-0.00014435118249100988,3.809576695335952e-05,0.00016447825109833163,3.361496978394265e-05,0.0,0.0,0.0,0.0,-178.55536370988864,-27.36621725587984,-54.36427912266712,-95.84311962709486,-178.54415243286394,-27.33539926817787,-54.40230737896174,-95.83417409911378,0.0,0.0,0.0,0.0,19.079753266942088,19.53924408579814,20.002058294480985,20.462105187195764,-5.025773059530539,-4.999479318499951,-4.995526001813297,-4.998389268566695,0.00015111069219098523,-1.2400313580407138e-05,5719357.249967852,-2473274.1967311543,-2828582.1478815866,199.04881098469124,263020.85013598384,-1.0,220.06790041712915,8,1.1763306526994775,0.0,0.0,1.3594120618184724,1.0345895089174126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000000000,-0.11595031755102708,0.4751465206187684,0.33608224740673814,-0.009401840334772066,-0.03125846403124605,0.008636871931065649,0.1908672650523849,0.3196787060084155,0.4014869886716542,-0.010275369333488034,-0.030613159459249115,0.008564249661412499,0.5386786223237285,0.29368338043750153,0.491882790947261,0.6177594466102033,5740581.183793133,-2453568.117213034,-2802609.2473446503,4,-0.00012167298072555293,3.183578032103605e-05,0.00016195296216607122,4.163605446584832e-05,0.0,0.0,0.0,0.0,-206.59653251243816,-19.819031779482483,-20.18718716857504,-87.92777876160496,-206.5865702512885,-19.811339523895374,-20.203574594559697,-87.93657267934336,0.0,0.0,0.0,0.0,19.099071055433065,19.548405173613325,20.002273184515914,20.453100738036067,-5.025136003780343,-4.9996846452735255,-4.998363985624034,-4.998169334035191,0.00011281339693355519,-3.56631326869883e-06,5740166.97448301,-2453955.1722306535,-2803119.3375698035,188.80680184906348,263992.2943066339,-1.0,209.82814251594857,8,1.4166765962355639,0.0,0.0,1.4623863203936243,0.7545340923075347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000000000,-0.08447858709854167,0.4339549634330698,0.35045036170030947,-0.005859261985512664,-0.029341809507474278,0.007823561934937476,0.21510633329089396,0.27531880917372525,0.3929122143612595,-0.00669721138382547,-0.028675332322470406,0.007927751897216723,0.5668440880860619,0.33703808662670726,0.431381648492746,0.6156321802087429,5761208.780472312,-2434171.220159446,-2777057.286823852,4,-9.500676139984369e-05,1.9240078180540552e-05,0.00016016442404136788,4.872705838261535e-05,0.0,0.0,0.0,0.0,-229.36080740466107,-14.419419406125026,13.499030933393643,-78.53981633974483,-229.353990278952,-14.407196507351594,13.524170568480091,-78.48882147800441,0.0,0.0,0.0,0.0,19.117915640012374,19.557367604033743,20.002287484482085,20.444286673849263,-5.021790179830535,-4.9998614022064185,-5.002166090989737,-4.998087735306729,9.214735201107583e-05,-3.851796008724445e-06,5760798.156698291,-2434559.8223083373,-2777569.1014128425,173.80258120748988,264899.73525148374,-1.0,194.82446258915192,8,1.590051834491195,0.0,0.0,1.5247833818648033,0.478716431665946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000000000,-0.05334997023352122,0.39760790192981516,0.35834688321870334,-0.0023498651073576224,-0.027646037318137546,0.007256647725926081,0.23958530435150166,0.2373429999924401,0.382277811937634,-0.0031419327311820004,-0.026947710135136197,0.007495776452172373,0.5874664529920044,0.38033363328788816,0.3767740503404802,0.6068532021741804,5781657.179619402,-2414698.6099287462,-2751418.704828245,4,-6.845638066438033e-05,7.7616341970957e-06,0.00015697680192869337,5.558847063877482e-05,0.0,0.0,0.0,0.0,-246.48003299746483,-11.596894756415448,46.75573441475434,-67.55651389848364,-246.51398478160561,-11.608919138886435,46.796941610149524,-67.57007681609755,0.0,0.0,0.0,0.0,19.136207762968912,19.566141277716536,20.002448068495433,20.4356492862905,-5.016875455181303,-4.99995494790811,-5.007346034234005,-4.998121941384424,7.894031657456197e-05,-2.198611630118012e-06,5781250.1516749635,-2415088.747614544,-2751932.234040372,155.56704398948992,265723.2684494489,-1.0,176.58934890360058,8,1.7076749666745759,0.0,0.0,1.5593693875981642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000000000,-0.022700348199524392,0.366025841790545,0.3607988719871867,0.0008043672562071721,-0.025885253364728602,0.0062226869850835025,0.2644434749180244,0.20525365125821463,0.37006727505993303,6.820628170594097e-05,-0.025160547048385322,0.00656264026581639,0.6012692289504245,0.4234451991829558,0.32866635588950066,0.5925773401950036,5801925.740568153,-2395150.890388373,-2725694.2989357114,4,-4.3108848663832644e-05,-6.40731962239874e-07,0.00014981670638156418,6.123788360710301e-05,0.0,0.0,0.0,0.0,-258.26100544842654,-10.921943209745764,79.03069019186823,-55.346026826913935,-258.22703572100494,-10.894750023667683,79.01415376504386,-55.319225490142514,0.0,0.0,0.0,0.0,19.153908827790616,19.574735538352595,20.002812311620417,20.427173689459206,-5.011131870203807,-5.000006980614561,-5.011837640274606,-4.998306183854099,6.825820227225325e-05,-1.918557704468227e-06,5801522.319324672,-2395542.5508084293,-2726209.532583766,135.58496897198376,266450.6085865877,-1.0,156.606284111374,8,1.7782975976015836,0.42361326288877355,0.0,1.5721367571726432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45000000000,0.006853340345434677,0.338691680327477,0.3583078518871687,0.0034847113405146683,-0.024261236302379908,0.004641198630748538,0.2892811467860221,0.1785896769562878,0.35613686414872303,0.002809093566294035,-0.02351515636798559,0.005059552519154197,0.6097728399827134,0.465676933215191,0.28748881146551875,0.5732994512232277,5822013.828222914,-2375528.6677414905,-2699884.869459258,4,-1.9446672222636198e-05,-6.816511831320647e-06,0.00013885868974143747,6.500704551820899e-05,0.0,0.0,0.0,0.0,-264.7650839890617,-11.719613219446298,109.3421505604885,-42.03107358806657,-264.79540178882866,-11.693978425112908,109.3227132007206,-42.07381059355407,0.0,0.0,0.0,0.0,19.17100838726669,19.58315990530599,20.003336204818208,20.41884389484732,-5.005149389384648,-5.00007971214229,-5.015180408714031,-4.99863245293981,6.021735703504835e-05,-1.3350166163066205e-06,5821614.024935375,-2375921.837223245,-2700401.796658268,114.94552351509583,267076.020445866,-1.0,135.9646209897599,8,1.8101296254900816,0.6345282171808284,0.39411494684040166,1.5697163551496547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
